env_id,min_steps,verified_success,verified_avg_steps,unverified_success,unverified_avg_steps
env_0001,8,1,245.8,1,3204.2
env_0002,5,1,76.1,1,323.9
env_0003,1,1,40.6,1,125.5
env_0004,7,1,124.8,1,4306.0
env_0005,7,1,258.6,1,4042.2
env_0006,6,1,52.1,1,84.2
env_0007,4,1,41.0,1,430.8
env_0008,6,1,156.8,1,162.4
env_0009,5,1,203.3,1,65.2
env_0010,1,1,61.1,1,76.0
env_0011,5,1,442.6,1,1805.7
env_0012,3,1,195.5,1,3259.9
env_0013,8,1,160.3,1,38.6
env_0014,2,1,384.1,1,7.6
env_0015,5,1,58.1,1,865.2
env_0016,5,1,82.0,1,336.6
env_0017,3,1,32.4,1,261.5
env_0018,9,1,234.1,1,5644.5
env_0019,11,1,539.9,1,6595.7
env_0020,1,1,4.1,1,2.8
,,,,,
AVERAGES,5.1,,169.7,,1581.9
